user_id,original_image,face_id,age,gender,x,y,dx,dy,tilt_ang,fiducial_yaw_angle,fiducial_score
37303189@N08,8863087660_2171f4f9ec_o.jpg,84,"(0, 2)",m,2237,714,370,369,155,0,45
37303189@N08,11438868715_c0ced9f10c_o.jpg,84,"(0, 2)",m,431,720,746,746,-95,0,98
20254529@N04,9405974300_bed166a764_o.jpg,25,"(60, 100)",m,430,1295,720,721,-85,0,108
113605644@N05,11818155926_648fc372a9_o.jpg,417,"(0, 2)",m,124,0,937,865,-85,0,90
10406201@N05,10268404906_2b64e50a06_o.jpg,266,"(38, 43)",m,0,382,545,578,15,0,83
30601258@N03,11167478633_afa18032b6_o.jpg,2,"(25, 32)",m,615,411,1083,1083,5,0,28
20254529@N04,9981781455_9e7b8e8f21_o.jpg,14,"(4, 6)",f,484,365,384,384,-5,15,117
31040257@N06,9720289389_fcef2d4e8b_o.jpg,358,"(8, 12)",m,1219,734,433,434,-15,0,93
37303189@N08,9660491576_43680c586a_o.jpg,84,"(0, 2)",m,710,1035,364,364,-100,0,74
54030085@N03,11451986014_1f70cc6dc1_o.jpg,472,"(38, 43)",m,1856,1219,325,325,180,-15,16
16166376@N00,11117705756_41a7de9362_o.jpg,355,"(25, 32)",f,1778,1016,242,243,-10,0,84
113984426@N05,11868288956_b41ef96084_o.jpg,470,"(15, 20)",f,1262,929,268,267,-85,30,69
20254529@N04,9406009106_ca30c9145e_o.jpg,14,"(4, 6)",f,73,261,1060,1059,5,0,107
113528649@N08,11769669483_e27656d28f_o.jpg,332,"(38, 43)",f,667,1128,383,382,-90,0,171
30601258@N03,9429555899_4b429e9dc0_o.jpg,4,"(38, 43)",f,1145,1434,797,797,-95,0,124
20254529@N04,9403132965_74529271ae_o.jpg,14,"(4, 6)",f,473,440,396,396,15,0,80
30601258@N03,11625180236_97c661e616_o.jpg,2,"(25, 32)",m,884,1139,1243,1243,190,0,98
20254529@N04,9931717903_b324710081_o.jpg,45,"(38, 43)",m,2282,675,529,529,-10,0,190
20254529@N04,9406043644_b17f364ce7_o.jpg,18,"(25, 32)",m,213,40,656,657,-95,0,100
113528649@N08,11760052185_4beb4dc8d5_o.jpg,333,"(8, 12)",f,1596,792,670,669,-10,0,81
10044155@N06,11345830753_1574997964_o.jpg,153,"(48, 53)",m,1367,1502,242,243,180,0,98
62501130@N02,11309862775_74f68042f9_o.jpg,99,"(25, 32)",m,729,318,1027,1027,10,0,95
9017386@N06,8667608182_543ee07fa0_o.jpg,205,"(4, 6)",m,1200,30,416,416,5,45,5
30601258@N03,11551480385_3990a8b517_o.jpg,5,"(25, 32)",f,176,205,812,755,-90,0,75
20254529@N04,8646799416_351c589f72_o.jpg,14,"(4, 6)",f,161,196,432,433,0,-45,6
68825596@N05,11593918825_4ecc7d07d7_o.jpg,290,"(15, 20)",f,616,589,1135,1135,-110,0,177
62501130@N02,11285990553_4b28496eb8_o.jpg,97,"(0, 2)",f,1474,1085,280,280,-5,0,105
9017386@N06,8370375526_f0a2f3b989_o.jpg,205,"(4, 6)",m,1273,473,1014,1013,0,30,18
29671106@N00,11018253284_bd8dc8540f_o.jpg,188,"(38, 43)",m,567,1053,861,861,-100,-45,59
16166376@N00,8773640679_45586e66cc_o.jpg,354,"(25, 32)",m,835,969,280,280,-15,0,133
30601258@N03,11705977214_f0388a2dd2_o.jpg,5,"(25, 32)",f,1493,765,905,905,15,0,105
62501130@N02,11399454603_e86eb83e9f_o.jpg,124,"(25, 32)",f,1557,666,484,484,-10,15,57
63153065@N07,9289566018_a95a6e8971_o.jpg,230,"(25, 32)",m,98,564,886,886,-90,0,42
29671106@N00,9336817422_30bb583208_o.jpg,188,"(38, 43)",m,949,637,1116,1116,-80,0,64
16166376@N00,11117702536_6179e8931a_o.jpg,354,"(25, 32)",m,1284,954,268,268,-90,45,37
68825596@N05,11593655385_a5999fdc6d_o.jpg,290,"(15, 20)",f,543,1235,816,816,-100,0,72
29671106@N00,11192911656_9e839a0145_o.jpg,192,"(8, 12)",f,1805,1480,344,344,170,0,82
29671106@N00,8084089135_e75e233aa6_o.jpg,189,"(38, 43)",f,911,970,242,242,5,0,87
30601258@N03,9159859001_dffcd796c5_o.jpg,2,"(25, 32)",m,224,39,668,669,-95,0,64
9017386@N06,11792755764_35f8d415e1_o.jpg,207,"(4, 6)",m,749,586,777,778,20,0,98
